,City,Temperature,Humidity,Clouds,Wind,Longitude,Latitude
107,Bambanglipuro,24.67,95,76,1.08,110.28,-7.95
108,Norman Wells,4.0,64,20,4.1,-126.83,65.28
109,Port Elizabeth,6.78,20,1,2.6,-74.98,39.31
110,Khatanga,-4.08,90,76,4.78,102.47,71.98
111,Charlestown,4.46,16,1,3.1,-71.64,41.38
112,Batemans Bay,14.98,68,0,1.79,150.18,-35.71
113,Maryville,15.89,19,1,5.1,-94.87,40.35
114,Provideniya,1.0,86,75,16.0,-173.23,64.42
115,Rio Gallegos,15.0,47,75,3.1,-69.22,-51.62
116,Omboue,28.57,100,64,4.23,9.26,-1.57
117,Broken Hill,13.0,71,0,1.5,141.45,-31.97
118,Longyearbyen,-7.0,73,75,5.7,15.63,78.22
119,Long Branch,10.36,37,1,4.1,-88.58,37.88
120,Toora-Khem,-15.21,67,0,1.03,96.11,52.47
121,Mambog,27.07,61,75,3.1,120.85,14.81
122,Santa Helena,25.2,93,68,1.83,-45.3,-2.23
123,Grand Gaube,25.37,88,75,1.0,57.66,-20.01
124,Aruppukkottai,20.4,74,0,1.43,78.1,9.51
125,Vanimo,27.42,100,64,4.33,141.3,-2.67
126,Phangnga,24.38,88,20,1.98,98.53,8.45
127,Port Hardy,10.0,76,40,6.2,-127.42,50.7
128,West Monroe,18.4,37,1,6.2,-92.15,32.52
129,Anadyr,-1.07,86,75,16.0,177.51,64.73
130,Katsuura,8.31,65,20,3.1,134.5,33.93
131,Zhangjiakou,1.17,56,8,2.48,114.88,40.77
132,Ostrovnoy,-7.88,84,0,6.03,39.51,68.05
133,Dicabisagan,23.87,100,100,3.38,122.42,17.08
134,Cody,17.34,12,1,3.1,-109.06,44.53
135,Qaanaaq,-25.78,83,32,6.03,-69.36,77.48
136,Vaitape,27.77,100,64,1.78,-151.75,-16.52
137,Nekrasovka,-5.0,67,0,6.0,135.23,48.35
138,Northam,5.76,75,0,2.6,-4.21,51.04
139,Mocuba,20.97,91,0,1.18,36.99,-16.84
140,North Saint Paul,9.08,67,75,5.7,-92.99,45.01
141,Flinders,18.66,77,75,4.1,150.85,-34.58
142,Saint-Joseph,6.51,60,0,2.1,6.97,43.56
143,Talara,17.0,290,0,3.23,-81.27,-4.58
144,College,7.02,70,75,1.5,-147.8,64.86
145,Ormara,22.27,80,48,3.43,64.64,25.21
146,Calvia,8.36,86,0,0.5,2.51,39.57
147,Wanxian,11.07,87,80,1.23,108.39,30.8
148,Tawang,0.2,84,0,0.63,91.87,27.59
149,Hofn,4.12,92,0,6.98,-15.21,64.25
150,Carnarvon,13.17,47,44,3.78,22.13,-30.97
151,Aksarka,-0.18,95,88,8.88,67.8,66.56
152,Calabozo,31.02,37,0,3.48,-67.43,8.92
153,Praia da Vitoria,13.51,93,40,5.68,-27.07,38.73
154,Skibbereen,8.0,81,75,3.6,-9.27,51.55
155,Bowen,27.9,88,75,2.1,148.25,-20.01
156,Burns Lake,6.72,47,48,1.28,-125.76,54.23
157,Dalvik,0.74,59,0,3.1,14.13,57.79
158,Yamada,6.83,81,0,1.5,137.08,36.58
159,Margate,13.5,50,0,4.6,147.26,-43.03
160,Cidreira,19.7,82,88,2.93,-50.22,-30.17
161,Tarko-Sale,0.56,74,92,9.33,77.78,64.92
162,Sur,23.65,88,12,3.23,59.53,22.57
163,Ahipara,22.9,69,88,7.73,173.16,-35.17
164,Bima,25.55,100,12,1.23,118.73,-8.45
165,Karratha,26.3,96,8,2.63,116.85,-20.74
166,Bilibino,-6.61,80,68,1.63,166.44,68.06
167,Cukai,25.0,94,68,1.63,103.42,4.25
168,Datong,1.97,42,0,1.63,113.3,40.09
169,Manaira,20.15,98,88,1.68,-38.15,-7.71
170,Buin,25.86,36,0,2.6,-70.74,-33.73
171,Cherskiy,-11.81,76,68,6.88,161.3,68.75
172,Farmington,19.14,12,1,3.1,-108.21,36.73
173,Lixourion,11.77,80,0,2.33,20.43,38.2
174,Kysyl-Syr,-17.46,62,0,2.83,122.77,63.9
175,Taoudenni,19.17,87,100,0.63,-3.98,22.68
176,Inhambane,25.8,89,100,7.73,35.38,-23.87
177,Toguchin,-10.93,72,0,1.53,84.4,55.24
178,Miles City,19.64,25,1,4.6,-105.84,46.41
179,Kaitangata,13.57,76,12,10.23,169.85,-46.28
180,Kavaratti,28.57,100,0,3.33,72.64,10.57
181,Boddam,9.54,66,56,4.1,-1.78,57.47
182,Upernavik,-15.48,100,48,1.88,-56.15,72.79
183,Ushtobe,3.87,64,48,1.18,77.98,45.25
184,Ribeira Grande,16.37,96,32,2.43,-28.7,38.52
185,Harper,24.05,29,1,4.6,-99.24,30.3
186,Novobirilyussy,-11.71,64,0,2.33,90.69,56.95
187,Buala,29.77,84,68,2.53,159.59,-8.15
188,Luderitz,15.37,89,24,3.88,15.16,-26.65
189,San Francisco de Becerra,25.3,55,80,2.03,-86.1,14.63
190,Homer,6.79,61,1,4.1,-151.54,59.64
191,Black River,27.89,69,20,3.1,-77.85,18.03
192,Port Lincoln,17.8,93,0,1.88,135.86,-34.72
193,Clyde River,-21.0,70,20,2.6,-68.59,70.47
194,Alzamay,-9.83,71,24,0.98,98.67,55.55
195,Sabang,26.02,89,92,5.68,123.58,13.72
196,Arraial do Cabo,26.0,69,20,2.1,-42.02,-22.97
197,Jiaocheng,16.57,91,56,1.33,116.14,24.68
198,Mexico,-0.66,33,1,1.5,-70.55,44.56
199,Vila,7.08,48,0,3.1,8.4,45.18
200,Jian,14.4,94,0,1.18,87.89,25.65
201,Schoneiche,3.77,86,0,3.6,13.68,52.47
202,Talnakh,-1.93,93,92,8.83,88.39,69.49
203,Porosozero,-6.31,83,12,2.63,32.71,62.72
204,Pringsewu,22.97,95,64,1.13,104.98,-5.36
205,Werneck,4.96,69,75,2.6,10.1,49.98
206,Alofi,30.0,62,75,6.7,-169.92,-19.06
207,Huangmei,13.55,100,88,2.13,115.95,30.1
208,Vasai,17.95,86,0,1.33,69.93,22.43
209,Cayenne,26.0,78,20,2.6,-52.33,4.94
210,Mundo Nuevo,13.53,87,75,3.6,-71.41,-32.72
211,Vanavara,-8.08,85,48,2.28,102.28,60.35
212,Itoman,16.18,72,40,1.0,127.67,26.12
213,Oktyabrskoye,-5.8,85,0,1.0,85.44,56.73
214,Fare,27.72,100,64,2.43,-151.02,-16.7
215,Tripoli,9.13,93,0,0.78,22.37,37.51
216,Verkhnyaya Toyma,-3.53,81,76,1.18,45.0,62.24
217,Ronne,5.0,80,0,3.6,0.83,48.45
218,Lompoc,18.0,72,75,3.6,-120.46,34.64
219,Santa Cruz,18.02,55,90,1.5,-122.03,36.97
220,Portland,15.23,44,40,3.6,-122.67,45.52
221,Semnan,9.0,100,75,1.0,53.39,35.58
222,Fairbanks,6.93,70,75,1.5,-147.72,64.84
223,San Patricio,20.82,51,44,2.78,-56.83,-26.98
224,New Norfolk,13.6,50,0,4.6,147.06,-42.78
225,Jamestown,15.42,83,0,3.23,138.6,-33.21
226,Cabo San Lucas,25.74,36,75,2.6,-109.91,22.89
227,Malanje,17.97,93,8,0.68,16.35,-9.54
228,Dengfeng,11.17,80,12,0.38,113.03,34.46
229,Gijon,9.69,70,0,6.7,-5.66,43.54
230,Saskylakh,-9.56,76,76,2.28,114.09,71.97
231,Pizarro,26.12,87,0,3.43,-77.37,4.95
232,Tasiilaq,-3.0,49,24,3.6,-37.64,65.61
233,Husavik,1.93,86,12,2.68,-96.99,50.56
234,Adet,10.42,54,0,1.33,37.49,11.26
235,Avera,15.53,48,90,5.7,-82.53,33.19
236,Santa Maria,18.0,72,0,1.0,-53.81,-29.69
237,Kenai,7.44,56,1,2.1,-151.26,60.55
238,Media Luna,15.0,93,90,2.1,-64.63,-21.67
239,Haines Junction,3.72,47,12,1.18,-137.51,60.75
240,Katangli,-5.98,94,8,5.28,143.23,51.71
241,Caravelas,27.95,100,0,4.78,-39.27,-17.73
242,Chumikan,-8.61,60,56,2.98,135.31,54.72
243,Nanortalik,-4.08,100,76,10.83,-45.24,60.14
244,Silifke,5.87,95,24,0.73,33.93,36.38
245,Petalcingo,30.0,62,75,6.7,-92.41,17.23
246,Pathein,22.4,92,24,2.18,94.73,16.78
247,Sakaraha,17.55,90,36,1.23,44.53,-22.91
248,Bandarbeyla,26.37,100,88,1.43,50.81,9.49
249,Salalah,26.0,78,75,2.6,54.1,17.01
250,Nouadhibou,19.0,88,0,4.1,-17.03,20.93
251,Santana do Livramento,16.82,77,0,3.93,-55.53,-30.89
252,Narsaq,-6.0,73,44,6.7,-46.05,60.91
253,Alice Springs,18.0,45,32,2.1,133.88,-23.7
254,Poitiers,5.66,70,0,3.6,0.34,46.58
255,Palmeira das Missoes,16.8,73,44,5.03,-53.31,-27.9
256,Khandyga,-16.98,68,0,1.53,135.58,62.65
257,Namibe,24.77,100,20,3.73,12.15,-15.19
258,Apomu,26.2,91,12,2.78,3.21,6.85
259,Basco,10.66,23,1,2.08,-91.2,40.33
260,Honningsvag,-2.78,100,36,4.53,25.97,70.98
261,Christchurch,19.89,74,92,4.53,172.64,-43.53
262,Dikson,-1.56,94,88,12.73,80.55,73.51
263,Kiama,17.73,77,75,4.1,150.86,-34.67
264,Nyanza,15.77,93,40,1.0,29.75,-2.35
265,Turukhansk,-5.31,82,0,8.13,87.96,65.8
266,Parvatsar,13.22,42,0,0.93,74.77,26.88
267,Ust-Maya,-13.21,71,44,2.03,134.54,60.42
268,Fruitville,7.61,61,90,4.1,-94.08,45.71
269,Tailai,-2.11,46,12,3.68,123.41,46.39
270,Roebourne,26.3,96,8,2.63,117.15,-20.77
271,Rincon,14.01,71,90,6.2,-81.24,32.3
272,Tazmalt,11.69,87,40,2.6,4.4,36.39
273,Saint Anthony,13.01,28,1,8.2,-111.68,43.97
274,Suntar,-13.08,72,44,2.08,117.65,62.16
275,Sangar,-19.06,70,0,1.08,127.47,63.92
276,Ruwi,24.0,88,32,1.0,58.55,23.6
277,Nyurba,-13.98,77,64,1.48,118.35,63.29
278,Jamalpur,16.52,94,0,1.78,89.95,24.93
279,Awjilah,11.17,53,0,1.03,21.3,29.14
280,Westport,8.76,78,80,0.89,-9.52,53.8
281,Guerrero Negro,19.8,65,48,4.93,-114.04,27.97
282,Strakonice,2.9,86,90,3.6,13.9,49.26
283,Mitu,1.37,94,88,2.23,46.09,36.2
284,Kiruna,-6.0,62,76,4.6,20.23,67.86
285,Kibala,29.0,51,20,5.1,18.35,9.11
286,Youkounkoun,27.67,44,0,4.23,-13.12,12.53
287,Omsukchan,-16.58,69,64,6.18,155.8,62.53
288,Gladstone,28.01,74,92,3.1,151.26,-23.84
289,Saint-Georges,-5.0,56,12,0.89,-70.67,46.12
290,Saint-Alexandre,9.39,43,0,8.2,4.62,44.23
291,Aketi,22.92,92,80,1.88,23.78,2.74
292,Pevek,-6.06,80,76,1.53,170.27,69.7
293,Xinmin,2.0,34,0,5.0,122.83,42.0
294,Acucena,25.0,78,0,1.0,-42.55,-19.07
295,Shishou,14.45,99,88,1.98,112.42,29.72
296,Belmonte,13.89,30,0,2.24,-7.35,40.36
297,Kahului,24.14,69,75,3.1,-156.47,20.89
298,Merrill,9.62,46,75,6.2,-121.6,42.03
299,Clarksburg,7.32,24,1,5.1,-80.34,39.28
300,Dubti,25.3,59,0,4.73,41.09,11.74
301,Grand Baie,25.19,88,75,1.0,57.58,-20.02
302,Kislyakovskaya,0.47,81,0,1.13,39.67,46.44
303,Ulaanbaatar,-13.0,71,0,3.0,106.92,47.92
304,San Martin,17.03,55,75,3.6,-78.52,-0.3
305,Alyangula,26.0,94,68,2.6,136.42,-13.85
306,Marolambo,17.62,91,32,1.18,48.13,-20.05
307,Lata,4.7,72,0,1.28,78.62,30.78
308,Mahajanga,27.0,83,20,2.1,46.32,-15.72
309,Kuching,25.72,94,75,1.0,110.34,1.56
310,Mundra,24.27,55,0,2.53,69.73,22.84
311,Atar,13.65,59,0,1.73,-13.05,20.52
312,Laizhou,16.07,48,24,6.63,119.93,37.18
313,Paita,17.0,290,0,3.23,-81.11,-5.09
314,Springfield,15.94,38,1,1.38,-93.29,37.22
315,Aswan,18.0,20,0,3.6,32.9,24.09
316,Souillac,6.94,49,0,4.1,-0.6,45.6
317,Tautira,30.76,66,40,4.6,-149.15,-17.73
318,Alamosa,15.55,12,1,7.7,-105.87,37.47
319,Kuytun,-12.36,65,0,0.73,101.51,54.34
320,Moron,23.77,71,0,1.78,-68.2,10.49
321,Thompson,7.0,52,75,6.2,-97.86,55.74
322,Kudat,25.71,88,75,1.5,116.84,6.89
323,Olbia,12.0,71,40,9.3,9.49,40.92
324,Najran,25.0,47,5,3.6,44.22,17.54
325,Naica,27.65,29,44,4.48,-105.49,27.86
326,Felipe Carrillo Puerto,28.45,53,48,2.43,-88.05,19.58
327,Nhulunbuy,28.0,88,92,5.03,136.78,-12.18
328,Martinez,17.31,42,90,5.1,-122.13,38.01
329,Port Lavaca,24.88,68,1,6.7,-96.63,28.61
330,Yulara,16.0,44,0,3.1,130.99,-25.24
331,Bathsheba,26.0,74,20,8.2,-59.52,13.22
332,Dharmabad,20.82,84,0,1.33,77.84,18.89
333,Touba,21.4,45,0,4.83,-15.88,14.86
334,Fortuna,9.95,54,0,4.6,-1.13,38.18
335,Dhidhdhoo,29.12,100,0,1.78,73.1,6.88
336,Princeton,9.01,24,1,1.5,-89.46,41.37
337,Le Port,2.47,42,0,0.83,1.37,42.87
338,Muravlenko,-0.83,91,64,7.18,74.5,63.79
339,Belaya Gora,-21.71,90,36,3.78,146.19,68.54
340,Kaduqli,22.47,25,0,3.73,29.72,11.01
341,Porto Walter,27.2,80,32,1.63,-72.74,-8.27
342,Mogadishu,28.55,96,8,7.03,45.34,2.04
343,Chuy,17.65,98,92,5.83,-53.46,-33.69
344,Isla Vista,18.41,67,1,6.7,-119.86,34.41
345,Oyama,12.2,65,0,3.1,139.8,36.31
346,Mount Pleasant,20.1,40,1,2.6,-94.97,33.16
347,Shelburne,0.98,26,1,4.1,-80.2,44.08
348,Rio Cuarto,17.0,63,40,3.6,-64.35,-33.13
349,Zhicheng,13.8,66,92,1.53,112.59,35.04
350,Prince Rupert,10.0,71,90,4.6,-130.32,54.32
351,Methoni,11.19,87,20,2.1,21.7,36.82
352,Qaqortoq,-6.0,73,75,6.7,-46.03,60.72
353,Noumea,27.0,65,20,3.1,166.46,-22.28
354,Abyek,3.0,100,0,0.88,50.53,36.04
355,Ust-Tsilma,-1.83,86,76,2.68,52.15,65.44
356,Kudahuvadhoo,29.32,99,0,4.98,72.89,2.67
357,Trapani,12.26,71,40,7.7,12.54,38.02
358,Athabasca,5.55,87,80,1.28,-113.29,54.72
359,Bay City,5.56,33,1,1.5,-83.89,43.59
360,Harnosand,-1.39,92,92,3.58,17.94,62.63
361,Zima,-8.38,67,64,1.08,102.05,53.93
362,Beipiao,-0.08,33,0,4.83,120.76,41.8
363,Zhigansk,-19.03,71,0,2.93,123.37,66.77
364,Zhigalovo,-16.48,63,20,0.98,105.15,54.81
365,Tuatapere,13.33,73,56,7.6,167.69,-46.13
366,Karasburg,14.77,54,0,1.28,18.75,-28.01
367,Concordia,18.33,66,20,0.89,-58.02,-31.4
368,Palu,20.97,90,76,0.88,119.87,-0.9
369,Santa Maria a Vico,10.5,62,75,5.1,14.47,41.03
370,Razole,27.8,100,0,3.23,81.84,16.48
371,Kadiri,20.67,76,0,1.23,78.16,14.11
372,Esperance,26.78,65,20,4.1,-61.45,10.24
373,Mashhad,7.0,100,90,2.1,59.61,36.3
374,Sorland,5.3,93,92,10.88,12.69,67.67
375,Fort William,8.89,91,92,4.38,-5.11,56.82
376,Moree,21.94,52,90,2.1,149.84,-29.46
377,Gulariya,13.62,63,0,1.68,81.35,28.2
378,Honiara,28.42,82,32,1.23,159.96,-9.43
379,Faanui,29.3,100,64,3.28,-151.75,-16.48
380,Gornopravdinsk,0.45,86,88,3.83,69.92,60.06
381,Toba,13.76,50,0,2.1,136.83,34.47
382,Saint-Pierre,3.51,80,0,1.5,4.24,48.95
383,Paracuru,26.97,83,40,1.0,-39.03,-3.41
384,Kandi,25.37,61,8,1.38,2.93,11.13
385,Abu Kamal,8.37,86,68,1.43,40.92,34.45
386,Zhob,8.12,82,44,1.33,69.45,31.34
387,Bacalar,29.0,62,75,6.2,-88.39,18.68
388,Rome,11.13,53,75,4.6,12.48,41.89
389,Ponta Delgada,13.3,71,40,5.1,-25.67,37.73
390,Doha,20.65,77,90,8.2,51.53,25.29
391,Anton Lizardo,26.0,74,20,8.7,-95.98,19.05
392,Lauchhammer,4.92,86,75,3.1,13.76,51.5
393,Los Llanos de Aridane,15.62,77,80,8.7,-17.92,28.66
394,Saldanha,9.57,31,0,6.68,-6.55,41.42
395,Benguela,26.45,100,80,3.38,13.4,-12.58
396,Kirakira,28.77,100,8,3.08,161.92,-10.46
397,Monte Carmelo,23.3,65,48,2.43,-47.5,-18.73
398,Codrington,20.27,94,90,5.7,153.24,-28.95
399,Fort Morgan,20.04,11,20,4.1,-103.8,40.25
400,Kathmandu,9.0,93,40,0.83,85.32,27.71
401,Singaraja,23.2,100,88,0.23,115.08,-8.11
402,Diamantino,23.55,91,76,1.33,-56.44,-14.4
403,Kingaroy,20.77,83,75,4.1,151.84,-26.54
404,Baruun-Urt,-9.06,70,44,2.53,113.28,46.68
405,Kruisfontein,14.95,85,12,3.68,24.73,-34.0
406,Moerai,22.95,100,100,6.03,-151.33,-22.43
407,Nikolayevsk-na-amure,-7.53,78,76,4.83,140.72,53.14
408,Aklavik,3.39,64,20,3.1,-135.01,68.22
409,Manokwari,27.2,100,76,4.03,134.08,-0.87
410,Paamiut,-5.28,100,48,3.08,-49.67,61.99
411,Belyy Yar,-10.0,92,0,1.0,91.39,53.6
412,General Roca,22.0,26,0,3.6,-67.58,-39.03
413,Santa Rosa,12.9,55,0,3.18,-64.29,-36.62
414,Ketchikan,10.3,62,40,9.3,-131.65,55.34
415,Sorong,27.05,100,44,2.98,131.25,-0.86
416,Lumberton,22.23,38,1,4.6,-94.2,30.27
417,Kavieng,29.47,98,36,3.33,150.8,-2.57
418,Walvis Bay,16.05,82,0,2.6,14.51,-22.95
419,Todos Santos,25.6,38,40,7.7,-110.23,23.45
420,Setermoen,-3.52,49,92,11.3,18.35,68.86
421,Namtsy,-20.0,76,0,2.0,129.66,62.72
422,Nemuro,0.9,93,0,11.03,145.57,43.32
423,Kudymkar,-4.88,78,20,3.88,54.66,59.01
424,Engis,5.06,75,20,1.0,5.4,50.58
425,Valkeala,-5.47,53,0,2.1,26.8,60.94
426,Livingston,17.06,45,75,4.1,-88.19,32.58
427,Adrar,19.0,77,40,3.6,-0.29,27.87
428,Kungurtug,-20.11,62,0,1.13,97.53,50.6
429,Huarmey,21.22,72,0,1.53,-78.15,-10.07
430,Segezha,-4.98,83,8,2.83,34.31,63.74
431,Kuybysheve,4.62,98,92,1.98,36.65,47.36
432,Tommot,-12.63,72,68,2.53,126.27,58.97
433,Aksum,9.77,62,0,0.13,38.72,14.12
434,Muzaffarabad,4.55,73,8,1.08,73.47,34.37
435,Qasigiannguit,-12.0,85,80,4.6,-51.19,68.82
436,Praya,24.0,100,75,1.0,116.27,-8.71
437,Dese,6.7,61,0,2.6,12.3,45.53
438,Peniche,17.26,54,0,0.5,-9.38,39.36
439,Turochak,-12.11,64,0,0.98,87.12,52.26
440,Nago,6.72,49,0,3.1,10.89,45.88
441,Lengshuijiang,13.87,98,76,1.48,111.45,27.66
442,Nakambala,18.87,62,8,2.43,27.78,-15.83
443,Saint Austell,5.93,86,0,3.1,-4.77,50.34
444,Carbonia,10.0,71,40,7.2,8.53,39.17
445,Arroyo,4.31,23,1,3.6,-78.88,41.39
446,Tikrit,8.8,94,76,3.33,43.68,34.62
447,Drayton Valley,3.9,99,88,1.83,-114.98,53.22
448,Poum,1.67,71,92,0.73,20.71,41.28
449,La Spezia,9.35,36,0,4.1,9.83,44.11
450,Marsa Matruh,15.0,87,40,2.6,27.25,31.35
451,Cockburn Town,25.07,100,88,5.48,-71.14,21.46
452,Avon Lake,2.2,34,1,4.1,-82.02,41.51
453,Senneterre,1.0,20,20,4.1,-77.24,48.39
454,Dzaoudzi,28.0,83,0,3.1,45.27,-12.79
455,Anisoc,21.57,97,0,0.88,10.77,1.87
456,Astara,2.16,100,90,0.78,48.87,38.42
457,Kamaishi,6.0,45,40,6.7,141.86,39.28
458,Lasa,10.79,76,20,3.6,32.53,34.92
459,Vila Franca do Campo,13.33,71,40,5.1,-25.43,37.72
460,Halifax,-1.51,30,20,6.7,-63.58,44.65
461,Maryborough,23.57,83,92,1.88,152.7,-25.54
462,Maningrida,26.27,100,76,3.43,134.23,-12.05
463,Hovd,3.89,100,75,4.1,10.7,63.83
464,Jutai,22.92,99,92,1.08,-47.89,-1.71
465,Gawler,17.2,67,0,2.6,138.75,-34.6
466,Coihaique,19.0,59,0,0.83,-72.07,-45.58
467,Dzhebariki-Khaya,-16.98,68,0,1.53,135.8,62.22
468,Poso,24.65,100,64,0.58,120.75,-1.4
469,Chara,11.0,81,75,1.08,22.43,39.42
470,Manta,-2.31,81,8,1.18,24.1,45.1
471,Damavand,8.46,61,40,2.1,52.07,35.72
472,San Quintin,23.05,60,0,1.73,120.52,17.54
473,Sambava,27.55,100,12,1.93,50.17,-14.27
474,Lebanon,-1.0,29,1,3.6,-72.25,43.64
475,Minab,22.38,83,56,1.0,57.07,27.15
476,Macon,15.61,77,90,3.6,-83.63,32.84
